"INTERNAL_ID","VETTING_LEVEL","DESCRIPTION","VETTING_LEVEL_PREDICTION","ALGORITHM_NAME","NAME","GENDER","BIRTH_DATE","BIRTH_COUNTRY","BIRTH_COUNTRY_CODE","OCCUPATION","ADDRESS","SSN","PASSPORT_NUMBER","PASSPORT_COUNTRY","PASSPORT_COUNTRY_CODE","COUNTRIES_VISITED","COUNTRIES_VISITED_COUNT","ARRIVAL_AIRPORT_COUNTRY_CODE","ARRIVAL_AIRPORT_IATA","ARRIVAL_AIRPORT_MUNICIPALITY","ARRIVAL_AIRPORT_REGION","DEPARTURE_AIRPORT_COUNTRY_CODE","DEPARTURE_AIRPORT_IATA","DEPARTURE_AIRPORT_MUNICIPALITY","DEPARTURE_AIRPORT_REGION","UUID","AGE"
"1",100,NA,30,"DECISION_TREE","Kathleen Bailey","F",1985-11-27,"Ghana","GH","Chiropodist","79421 Jordan Orchard, Lawton, Oklahoma 73507","885-71-9055",240479506,"Ghana","GH","AE,IE,RU,VN",4,"US","BMI","Bloomington/Normal","US-IL","AE","AUH","Abu Dhabi","AE-AZ","81d28245-a6d4-40e3-bac0-df61cc6625ce",31
"2",30,NA,30,"DECISION_TREE","Kelly Robbins","F",1971-01-17,"Pakistan","PK","Engineer, structural","5808 Jacobs Unions, Karval, Colorado 80823","141-10-9199",449064032,"Pakistan","PK","UA,UZ,IS",3,"US","CLE","Cleveland","US-OH","UA","KBP","Kiev","UA-32","b4d817b3-2154-4351-b0e3-bcd736a76bf5",46
"3",100,NA,30,"DECISION_TREE","Linda Stewart","F",1997-04-15,"Ghana","GH","Engineer, land","824 Kristin Grv, Atlantic, Virginia 32303","011-46-5304",639217810,"Ghana","GH","RU,LK,ET",3,"US","TPA","Tampa","US-FL","RU","KJA","Krasnoyarsk","RU-KYA","a52a6477-1f5e-4b09-a5e3-f76333a7eb10",19
"4",100,NA,30,"DECISION_TREE","Stacey Courtney Gonzalez","F",1984-03-27,"Ghana","GH","Careers adviser","322 Hutchinson Cres, Ten Mile, Tennisse 37880","691-25-2647",212838449,"Ghana","GH","RU",1,"US","TOL","Toledo","US-OH","RU","AER","Sochi","RU-KDA","5fcbbf15-8268-4306-ac26-406c2faae251",32
"5",30,NA,30,"DECISION_TREE","Erika Patie Fowler","F",1998-06-18,"Ghana","GH","Geneticist, molecular","07695 Michael Vis Ste 394, Wasilla, Alaska 96954","165-33-0802",16514173,"Ghana","GH","IE,AE",2,"US","FWA","Fort Wayne","US-IN","IE","ORK","Cork","IE-C","6d1fe59a-6828-4bc5-9ded-2194aa238461",18
"6",100,NA,30,"DECISION_TREE","Ashlee Fisher","F",1981-01-05,"Ghana","GH","Electronics engineer","4838 Cassandra Streets Apt. 931, Spring, Texas 77380","072-16-8742",513428119,"Ghana","GH","AE,SG,JM",3,"US","OKC","Oklahoma City","US-OK","AE","AUH","Abu Dhabi","AE-AZ","b5c7e0a7-56b6-4f3d-b480-76832b4042c4",36
"7",100,NA,30,"DECISION_TREE","Jacqueline Clark","F",1976-01-19,"Ghana","GH","Editor, commissioning","1148 Wang Fall Suite 988, Fullerton, Califronia 92823","634-03-1462",742709558,"Ghana","GH","IS,KW,CL,OM,GB,CZ,BY",7,"US","TUS","Tucson","US-AZ","IS","KEF","Reykjavík","IS-2","077fc1af-1802-40ac-b3bd-c6329d2161d3",41
"8",30,NA,30,"DECISION_TREE","Shell Chapman","F",1997-08-24,"Ghana","GH","Writer","72346 Wilson Fords Apt. 650, Hawleyville, Connetticut 60440","004-07-1446",170002642,"Ghana","GH","KW,SA,JO,BE,KH,QA,KE,KZ",8,"US","DLF","Del Rio","US-TX","KW","KWI","Kuwait City","KW-FA","fb3808ae-b5f8-482b-bac7-4cebb8761723",19
"9",10,NA,10,"DECISION_TREE","Sabrina Debra Wilson","F",1977-02-21,"Haiti","HT","Recruitment consultant","251 John Shl, Findley Lake, Newyork 14736","233-53-1156",934214045,"Haiti","HT","DZ,QA",2,"US","DTW","Detroit","US-MI","DZ","ALG","Algiers","DZ-35","4e2f72ee-b05c-4763-9503-448d93ef72d7",40
"10",100,NA,10,"DECISION_TREE","Ashley Gibson","F",1986-04-06,"Ghana","GH","Theatre manager","17894 Gary Greens, Pound, Virginia 24279","565-33-0366",3699030,"Ghana","GH","IT,GR,DZ,LB,KR,BS,MY,PE,BS,UZ,JO",11,"US","STL","St Louis","US-MO","IT","FCO","Rome","IT-62","d4252e23-2f33-42b7-a54f-fc1ecfa4c3ff",30
"11",100,NA,10,"DECISION_TREE","Tammy Sara Garcia","F",1995-08-17,"Ghana","GH","Statistician","2902 Rasmussen Squares Suite 903, Goodridge, Minnesota 56725","069-16-0401",136448540,"Ghana","GH","OM,CL,CK",3,"US","DCA","Washington","US-DC","OM","JNJ","Duqm","OM-WU","2145d491-f308-4c74-8580-aeeeba8edec0",21
"12",100,NA,10,"DECISION_TREE","Sandry Santiago","F",1971-12-16,"Ghana","GH","Merchant navy officer","9486 Pratt Wall, Saint Paul, Minesota 55103","778-07-9880",625553651,"Ghana","GH","UZ,JP,VN,EG,LK,AZ",6,"US","AUS","Austin","US-TX","UZ","TAS","Tashkent","UZ-TO","db60dea1-442a-4141-8cda-96f7ae73f61d",45
"13",100,NA,10,"DECISION_TREE","Becky Cynthia Stanley","F",1993-11-05,"Ghana","GH","Advertising account executive","6362 William Cliffs, Duncan, Oklahoma 73534","612-01-4772",411247380,"Ghana","GH","SK,QA,PK,AZ,RU",5,"US","TPA","Tampa","US-FL","SK","BTS","Bratislava","SK-BL","e7bb9c60-9411-40e4-80ee-6a5773406f07",23
"14",100,NA,10,"DECISION_TREE","Kattery Myers","F",1970-03-30,"Ghana","GH","Administrator, local government","9243 Shelby Shoals Suite 971, Orrin, North Dakota 58359","247-53-0916",839986814,"Ghana","GH","UZ",1,"US","MSP","Minneapolis","US-MN","UZ","TAS","Tashkent","UZ-TO","826a162a-64e0-4472-8682-cbb9470b062a",46
"15",100,NA,10,"DECISION_TREE","Carro Brown","F",1982-09-24,"Ghana","GH","Corporate treasurer","3392 Smith Land, Hamilton, Ohio 45012","687-76-8629",579299616,"Ghana","GH","KZ,UA,AL,EE,SN,UZ,SA,LV",8,"US","SPI","Springfield","US-IL","KZ","ALA","Almaty","KZ-ALM","7ea40629-ea38-4b3c-a9ad-4c6fa2cb6db6",34
"16",100,NA,10,"DECISION_TREE","Amanda Dinnie Young","F",1975-08-17,"Ghana","GH","Paramedic","0890 Johnson Trl, Sarasota, Florida 34239","162-84-9480",667216036,"Ghana","GH","TN,PA,RO,OM",4,"US","PIA","Peoria","US-IL","TN","TUN","Tunis","TN-11","e1ed476e-3c06-4572-9873-f8645a46615b",41
"17",100,NA,10,"DECISION_TREE","Paula Diaz","F",1981-11-13,"Ghana","GH","Special effects artist","5412 Thomas Mills Suite 611, Knightdale, North Caroleina 27554","185-96-8661",103060465,"Ghana","GH","KE,OM,JO,IN,DZ,PG,GR",7,"US","SUX","Sioux City","US-IA","KE","MBA","Mombasa","KE-300","4bda7daf-20f0-4b79-bfeb-34091b0f25a7",35
"18",100,NA,10,"DECISION_TREE","Barb Hunt","F",1981-02-26,"Ghana","GH","Architect","086 Mary Greens Apt. 730, Fullton, Allabama 36446","412-11-6007",297559155,"Ghana","GH","RO,MA,BS,BY,BA,SN,RU,BY",8,"US","TCM","Tacoma","US-WA","RO","OTP","Bucharest","RO-B","3f2c6140-d4c0-4389-a37a-ecc975754183",36
"19",10,NA,10,"DECISION_TREE","Linda Miller","F",1997-02-13,"Ghana","GH","Actor","14973 Tammy Ln Ste 171, Freeland, Pensylvania 18224","874-23-1042",614106845,"Ghana","GH","QA,SD,TN",3,"US","SFO","San Francisco","US-CA","QA","DOH","Doha","QA-DA","240ca290-bd2a-48a0-95d0-1d9a0d9c5075",20
"20",100,NA,10,"DECISION_TREE","Kari Denise Parrish","F",1981-06-03,"Ghana","GH","Science writer","44463 Alisha Port, Elbing, Kansas 67041","474-10-7079",931914523,"Ghana","GH","AM,UA,PH,HU,AT,AU,SD,QA,PG",9,"US","BIL","Billings","US-MT","AM","EVN","Yerevan","AM-ER","f4bf1682-02b1-4989-b99e-72ee47262a86",35
"21",100,NA,10,"DECISION_TREE","Shari Adams","F",1981-10-18,"Ghana","GH","Surveyor, building control","2315 Brittany Creek Apt. 625, Maramec, Oklahoma 74045","811-00-6390",527480878,"Ghana","GH","CY,DO,BY,OM,LV,HU,IL,NO",8,"US","DEN","Denver","US-CO","CY","LCA","Larnarca","CY-04","e37e6245-e542-4377-b1ef-2e3a2bd95cdb",35
